"","State","Men","Women","Hispanic","White","Black","Native","Asian","Pacific","VotingAgeCitizen","Income","IncomeErr","IncomePerCap","IncomePerCapErr","Poverty","ChildPoverty","Professional","Service","Office","Construction","Production","Drive","Carpool","Transit","Walk","OtherTransp","WorkAtHome","MeanCommute","Employed","PrivateWork","PublicWork","SelfEmployed","FamilyWork","Unemployment","TotalPop"
"723","Wisconsin",42282,42304,7,89.9,0.8,0.1,0.7,0,64235,59215,2680,28819,612,9.8,13,32,18.5,21.8,9.6,18.2,81.5,9.7,0.3,3.3,1,4.2,23.8,44955,83.6,11.3,5,0.1,4.3,84586
"724","Missouri",22801,21992,2,90.2,4.3,0.5,0.8,0,34855,53180,2865,24208,869,12.3,19.4,31.9,18.5,23.9,11.6,14.2,82.5,10.2,0.1,1,2.7,3.5,23.5,20199,70.8,23.9,5.2,0.1,4.3,44793
"725","Oklahoma",66068,66854,8.3,77.3,2.4,3.5,3.2,0,95227,69220,1481,29852,612,7.9,9.9,36.7,15.4,25.3,10.5,12.1,85.6,8.6,0.2,0.8,1.1,3.6,23.8,67192,77.5,17,5.3,0.1,4.3,132922
"726","Texas",448915,465160,15.1,59.1,9.2,0.3,13.5,0.1,584404,90124,995,41609,444,6.9,8.2,52.7,12.1,24.3,5.2,5.7,81.3,7,1.1,0.8,1.3,8.5,28.7,474671,84.3,9.7,5.9,0.1,4.3,914075
"727","New Hampshire",149778,152701,2.7,93.2,0.7,0.1,1.9,0,235982,85619,1358,43474,698,4.8,5.7,43.6,13.4,24.7,8.4,9.9,83.8,6.2,0.8,1.7,0.9,6.6,30.2,170757,82.3,11.3,6.2,0.1,4.3,302479
"728","Colorado",280635,283394,15.2,78.7,1,0.4,2.7,0.1,430864,75170,854,40187,457,7.8,9.9,45.6,14.9,24.5,7.6,7.5,78.3,7.7,3.3,1.5,1.4,7.8,27.5,305799,80.2,13.3,6.4,0.1,4.3,564029
"729","Idaho",217999,217118,7.9,85.2,1.2,0.4,2.6,0.1,316189,60151,1294,31642,725,11.8,13.1,43,16.6,25,6.9,8.4,80.7,7.7,0.5,1.5,2.8,6.9,20.4,214984,78.3,15,6.6,0.1,4.3,435117
"730","Georgia",13814,14695,3.1,92.5,2.1,0.1,0.5,0,22242,43944,3094,23630,1617,17.7,29.7,30.5,19.1,25.9,9.9,14.7,83.8,9.9,0.2,1.2,1.2,3.7,27,11802,75.4,16.6,7.8,0.1,4.3,28509
"731","Idaho",11966,11506,27,70.4,0.1,0.9,0.6,0.1,13900,48162,2603,20007,793,14.7,18.2,27.1,14.1,21,18.4,19.4,79.1,12.8,0.6,3.2,0.9,3.4,14.8,9889,79.3,11.2,9.4,0.1,4.3,23472
"732","Utah",290874,285622,11.4,83,0.5,0.4,1.5,0.8,352481,67042,820,23207,271,11.8,10.4,41,15.2,26.5,7.6,9.9,73.2,11.8,2,4.1,2.3,6.7,21.4,257679,83.8,11.4,4.6,0.2,4.3,576496
"733","Michigan",38231,39090,4.4,90.2,1.7,0.1,1.5,0,58317,64903,1810,32792,741,10.1,10.7,40.4,15.7,22.7,8.7,12.4,85.9,6.5,1,1.4,0.6,4.6,23.3,37136,77,17,5.8,0.2,4.3,77321
"734","Texas",35292,22455,17.3,59.7,20.9,0.3,0.5,0,44095,42313,2337,17466,894,15.7,23,24.4,23.5,23.4,12.9,15.9,85.1,9.9,0.2,0.5,0.7,3.6,23.7,19102,73.2,20.4,6.2,0.2,4.3,57747
"735","Idaho",5148,4956,4.4,94.7,0.1,0.2,0.1,0,8201,54015,4886,28515,4617,10.4,3.2,35,20.9,20.1,10.6,13.4,78.7,5.8,0.7,7,0.8,7,15.9,4244,75.2,14.3,10.3,0.2,4.3,10104
"736","Vermont",14358,14543,1.3,95.7,0.7,0.4,0.3,0.1,23247,56584,2696,29651,861,11.5,15.8,38.4,15.7,20.9,14.1,10.9,76.3,9.8,0.5,3.8,1.3,8.3,27,15343,71.9,14.6,13.3,0.2,4.3,28901
"737","Alabama",101420,107301,5.8,78.5,11.7,0.2,1.9,0,151940,74063,1255,35330,712,8.3,10.1,44.3,13.7,26.8,7.4,7.7,86.2,7.3,0.1,0.7,0.8,4.9,28,104093,82.2,12.7,4.9,0.3,4.3,208721
"738","Pennsylvania",23135,22743,1.8,95.8,0.9,0.2,0.4,0,35551,60847,2069,28900,706,8.4,11.4,30.4,14.1,23.5,14.7,17.3,79.2,12.3,0.4,2.1,0.8,5.2,32.6,22983,76.2,16.3,7.2,0.3,4.3,45878
"739","Idaho",40454,41794,15.6,80.2,0.6,0.8,1.6,0.1,55350,49118,2416,22723,705,14.4,17.7,29.6,18.3,22.8,13.1,16.2,82.5,9.9,0.2,2.2,1.6,3.5,17.4,38869,80.9,11.4,7.4,0.3,4.3,82248
"740","Ohio",17467,17468,1.4,96.1,0.7,0.1,0,0,26337,52767,3268,24864,1522,9.7,12.4,27.4,18.4,20.6,11.3,22.4,85.3,7.4,1,1.3,1.3,3.6,29.5,16936,78.7,13.4,7.6,0.3,4.3,34935
"741","Iowa",6061,6436,2.8,94.5,1.2,0.3,0.7,0.1,9500,47597,2912,25098,1265,13.8,16,27.4,18.1,19.7,6.2,28.7,79.9,10.3,0.4,4.7,0.7,3.9,17.5,6205,76.7,14.6,8.5,0.3,4.3,12497
"742","Texas",22234,22783,21.9,74.1,1.5,0.6,0.7,0,33766,57173,3823,29247,1770,12.3,18.4,30.2,18.8,22.4,14.9,13.6,76.4,12.5,0.2,2.7,1.6,6.6,26.2,19567,75.3,12.4,12,0.3,4.3,45017
"743","Virginia",9414,8675,1.5,60.7,33.1,0.4,0.1,0,14511,53681,4028,25784,1327,11.7,15.7,29.4,20.4,21.6,15.1,13.5,85.3,7.9,0,0.7,2.5,3.6,31,7887,68.7,25.6,5.3,0.4,4.3,18089
"744","Virginia",13444,14072,16.9,67,9.7,0.2,2,0,19288,49330,3199,28429,1428,12.5,18.8,35.6,22.3,22.9,8.6,10.6,67.4,16.5,0.6,6.7,2.2,6.6,24.8,13358,80.4,12.6,6.7,0.4,4.3,27516
"745","Kansas",3492,3426,3.4,93,0.3,0.4,0.5,0,5188,58947,3439,25790,1031,6.1,6.7,35.5,15,24.5,13.7,11.3,77.6,10.7,0.4,3.1,1.5,6.7,27,3376,73.2,19.8,6.7,0.4,4.3,6918
"746","Montana",52057,48676,3.3,92.3,0.3,0.9,1.3,0,78522,59397,1808,33181,870,13,9,40.3,18.2,21.5,11.7,8.4,73.6,9.3,0.4,5.9,3.7,7.1,17.7,56751,75.5,15.6,8.4,0.4,4.3,100733
"747","Wisconsin",14008,12419,3,91.9,2.3,1.4,0.5,0,20868,48817,1770,24376,739,14.3,23.2,23.8,21.1,21.8,11.6,21.7,79.8,10.3,0.8,2.7,1.2,5.2,23.7,11918,76,16.7,6.8,0.5,4.3,26427
"748","Illinois",11081,10965,2.9,94.9,0.4,0.2,0.5,0.1,17502,55532,1868,32401,2590,7.6,9,28,18.8,24,10.7,18.6,78.8,7.9,1,4.8,1,6.4,21.5,10968,81.7,8.4,9.4,0.5,4.3,22046
"749","Texas",20118,20898,20.6,75.4,1.6,0.5,0.8,0,30429,47013,2530,23511,1391,22.6,21.5,32.1,21.6,19.5,12.1,14.8,81.8,10.2,0.3,2.5,0.7,4.5,19.9,19076,77,14,8.3,0.6,4.3,41016
"750","Wyoming",4548,4014,2.1,91.7,1.4,2.7,0,0,6575,52415,5267,32732,4167,9.9,11.6,32.8,18.9,19.4,16.9,12.1,71.1,16.2,0.2,1.9,2.8,7.7,24.6,4267,64.9,21.5,11.6,2,4.3,8562
"751","New Hampshire",61938,64614,2.2,91.4,0.8,0,3.2,0,98519,67805,2346,32540,883,9.5,9.3,38.1,17.8,23.5,7.8,12.8,78.9,8.4,2.4,4.8,1.7,3.9,26.7,69103,79,16.1,4.9,0,4.4,126552
"752","Pennsylvania",8858,9444,2.5,92.1,1.8,0,3.1,0,14364,56250,3159,31818,1605,10.5,16.1,38,16.9,22.8,7.9,14.4,81.6,6,0.7,6.1,1.4,4.3,19,8662,86.3,8.7,5,0,4.4,18302
"753","Virginia",3524,3528,3.2,66.1,25.8,0.6,0,0,5590,51495,9813,25831,2468,15.6,35.3,27.7,20.5,17.4,18.7,15.6,82.7,7.1,0.2,0.4,3.9,5.7,34.6,3157,74.8,18.9,6.3,0,4.4,7052
"754","Illinois",10885,11021,1,97.4,0.7,0.2,0.4,0,17142,49807,2404,24808,952,12.1,14.8,26.4,20,18.4,12.4,22.8,87.5,6,0.3,0.7,0.8,4.8,23.5,10352,81.9,10.3,7.8,0,4.4,21906
"755","Maryland",17595,19866,6.5,77.6,11.4,0.1,1.4,0.1,29319,65595,5078,44785,2561,10,14.4,43.2,18.1,21.6,9.8,7.3,78.1,9.7,1.3,3.3,1.2,6.3,26.6,17863,75.5,14.7,9.7,0,4.4,37461
"756","Texas",19568,20738,23,73.6,0.7,0,0.7,0.1,29350,81023,5739,39517,2548,5.7,7.7,44.8,16.5,22.6,9.1,7,79.1,9.7,0.1,2.3,1.2,7.6,31.2,18640,75.8,13.6,10.7,0,4.4,40306
"757","Idaho",20980,20875,2.9,93.6,0.1,0.6,0.7,0.1,32924,45607,2239,25909,1236,14,18.8,26.6,19.1,22,14.2,18.1,75.6,9.6,0.5,1.8,2.3,10.2,25.6,17199,77.3,11.5,11.2,0,4.4,41855
"758","Arkansas",4487,4572,4.1,90.9,0.3,1.8,1,0,7139,35252,3596,21480,1748,18.1,29.4,29.1,18.5,19.3,20.8,12.3,84.9,10.9,0.2,1.4,0.3,2.3,30,3248,67.3,18.8,13.9,0,4.4,9059
"759","Missouri",115761,120307,6.6,82.1,5.6,0.3,2.2,0.2,173396,65675,1019,31953,594,8.9,11.5,37,16.6,25.4,7.2,13.8,84,8.1,0.6,1.2,0.9,5.1,23.1,123139,83.9,11.9,4,0.1,4.4,236068
"760","Virginia",10438,11182,7.2,77,12.2,0.8,1,0.2,15916,42112,4730,23640,1537,17.4,23.6,27.6,20.6,26.3,8.5,17,83.2,10.4,0.6,1.4,2,2.3,21.5,9976,78.9,16.9,4,0.1,4.4,21620
"761","Nebraska",270917,278789,12.2,70.2,10.9,0.3,3.4,0,377163,58640,1065,32023,351,13.5,18.5,40.5,16.2,25.5,7.5,10.4,82.8,8.8,1.2,2.1,1.3,3.8,19.3,285735,85.8,10.1,4.1,0.1,4.4,549706
"762","Texas",27365,28628,5.4,87,5.6,0.2,0.5,0,41486,56131,3351,29693,1678,12,15,31.9,14.2,24.2,14.2,15.4,86.7,9.4,0.2,0.9,1,1.9,28.3,24056,82.1,13.7,4.1,0.1,4.4,55993
"763","Wisconsin",57875,57219,6.2,85.1,1.6,0.2,5.4,0,86298,56114,1555,28849,506,8.2,10.8,30,16.3,21,8.1,24.6,83.5,7.4,0.3,3,1.8,3.9,18.2,59570,87,8.5,4.3,0.1,4.4,115094
"764","Wisconsin",128020,129984,8.3,81.6,2.2,2.2,3.1,0,186738,56775,1211,29874,581,11.3,15.5,34.3,16.1,24.9,8.3,16.4,83.4,7.8,0.7,2.3,1.7,4,19.1,134015,85.5,10.1,4.3,0.1,4.4,258004
"765","Illinois",16585,17154,1.5,96.5,0.4,0.1,0.7,0,25840,74410,4039,37043,1907,5.3,5.5,41.1,14.8,24.6,10.1,9.4,84.6,7.3,0.3,1.2,0.7,5.9,28.4,17657,83.7,11.9,4.3,0.1,4.4,33739
"766","Michigan",138250,141993,9.4,84.3,1.4,0.3,2.7,0,204444,63962,920,29121,542,9.5,10.4,34.3,15.8,22,8,19.9,83.2,8.6,0.8,2.4,1.3,3.6,20.5,143295,86.8,8.5,4.6,0.1,4.4,280243
"767","Iowa",49985,45903,3.3,84.5,1.9,0.3,7.3,0,72972,52671,2162,27392,797,22,9,46.7,17.3,20,6.6,9.4,72.8,6.2,5.7,7.3,3,5,17.7,51305,66,29.3,4.7,0.1,4.4,95888
"768","Virginia",38012,39307,2,88.2,7,0.1,1.3,0,60597,59405,1577,30633,1062,8.9,10.6,34.9,16.5,24.1,9.9,14.7,83.8,9.2,0.2,1,1.4,4.3,26.9,36735,81.7,13.2,5,0.1,4.4,77319
"769","Iowa",13280,13101,2.5,94.6,0.4,0.1,0.4,0.7,20197,57906,3321,30190,1326,9.4,11.5,31.5,17.3,24.3,9.9,17,82.2,10.1,0.2,3.2,1,3.2,21.4,13803,75.8,19.1,5,0.1,4.4,26381
"770","Ohio",99940,102226,1.8,93.9,1.4,0.2,1.1,0,152135,64183,1592,31812,640,9.8,12.8,36.4,15.7,25.5,9.1,13.3,85.6,6.9,0.5,1.1,0.8,5.1,28,100348,85.2,9.4,5.3,0.1,4.4,202166
"771","Indiana",12185,12094,7.9,89.8,0.4,0.2,0.2,0,17856,51404,3174,26275,1133,9.8,13.5,26.7,14.6,20.1,13.4,25.1,82,10.7,0.1,1.7,1.9,3.6,24.9,11428,82.4,12.2,5.3,0.1,4.4,24279
"772","New Jersey",62901,62816,6.2,86.3,2.5,0.1,3.8,0,95691,110969,2182,54200,1457,4.5,4.9,51.7,12.9,23.2,6.7,5.5,80.7,5.5,2.6,1.8,0.7,8.7,33.9,66382,79.5,13.7,6.6,0.1,4.4,125717
"773","New York",35413,36347,2.1,93.4,1.8,0.6,0.8,0.1,56718,58365,1967,28010,778,11.1,14.6,36.6,18.5,22.3,10.4,12.2,81.6,6.4,0.6,5.4,1.4,4.7,23.3,33640,77.2,15.5,7.2,0.1,4.4,71760
"774","Utah",5306,5104,6.2,91.4,0.1,0.7,0.6,0,7098,51852,1883,21465,924,12.9,20.2,29,20.9,18.5,17.5,14.1,81.9,7.5,1.3,1.7,0.7,6.8,19.8,4030,68.6,24.1,7.2,0.1,4.4,10410
"775","Vermont",24251,24565,1.4,94.2,0.6,0.5,0.3,0,37192,62214,2360,30624,1628,8,9.1,36.2,16.1,21.9,11.7,14.2,81.2,9.3,0.5,3.2,0.8,4.9,25.3,25865,74.8,17.5,7.6,0.1,4.4,48816
"776","Kansas",16160,16816,3,93.1,1.5,0.8,0.3,0,24512,63501,3546,31611,1182,7.7,9.4,35.6,13.1,24.5,13.4,13.5,82.9,7.6,0.2,1.3,1.3,6.8,27.9,16285,77.9,14.3,7.7,0.1,4.4,32976
"777","Kentucky",4627,4527,1,96.4,1.3,0,0,0,7000,41114,2805,22765,2086,17.7,25.4,28.3,17.5,18.3,14.3,21.6,77.9,13,0.8,2.8,1.5,3.9,24.5,3690,71,18.9,9.9,0.1,4.4,9154
"778","Hawaii",35337,35756,10.8,29.6,0.7,0.3,32.9,8.5,50395,72330,3242,30515,1027,9.1,8.3,28.7,29.6,22.7,10.5,8.5,80,9,0.8,2.9,1.3,6.1,22.4,35783,74,15.8,10,0.1,4.4,71093
"779","Nebraska",4085,4020,3,95,0.5,0.2,0.4,0,6085,52448,3123,27216,1174,7.8,8.5,27.8,17,18.2,14,23,81,7.3,0.2,2.6,1.2,7.6,22,4121,76,12.6,11.2,0.1,4.4,8105
"780","Nevada",27185,25192,24.2,67.2,0.8,5.2,1,0.2,35352,76178,4026,32498,1180,11.5,16.2,25.8,20.2,20.7,21.6,11.6,60.7,13.3,14.8,5.6,1.2,4.4,31.3,26482,82.5,14.1,3.2,0.2,4.4,52377
"781","Missouri",84812,89777,3.3,79.5,8.5,0.1,4.2,0.1,133063,52005,1208,28495,778,18.7,15.2,44.8,17.9,23.1,6.3,7.9,77.7,11,1.1,3.9,2.1,4.2,17.9,92859,74,21.1,4.7,0.2,4.4,174589
"782","Missouri",38820,37929,2.8,81.5,11.6,0.3,1.4,0.1,58348,54216,1664,27559,1003,12.6,17.9,37.6,16,25.7,8.2,12.4,85.6,9.3,0.4,1.1,0.9,2.7,18,36629,68.5,26.5,4.8,0.2,4.4,76749
"783","Illinois",18235,14594,3.1,85,10.6,0.1,0.4,0,26298,49717,1994,24716,1280,12.3,17.8,24.7,19.3,20,12.5,23.5,83.3,8.9,0.1,3.8,1.1,2.7,25.2,13296,79.8,14.3,5.7,0.2,4.4,32829
"784","Virginia",7586,7903,1.4,91.9,5.5,0,0.1,0.1,12369,46020,4009,25952,1320,19.3,25.7,28.3,16.4,22.4,13.2,19.7,86.6,7.7,0.5,0.7,1.7,2.7,24.6,6225,81.6,12.2,6,0.2,4.4,15489
"785","Texas",66258,69113,23.8,64.5,7.4,0.5,1.9,0.1,98253,49161,2217,25419,673,16.1,20.6,30.6,22.3,25,11.5,10.6,81.1,10.3,0.6,2.2,1,4.8,16.9,62872,78,15.7,6,0.2,4.4,135371
"786","Virginia",5737,6261,8.4,54.1,34.9,0.2,0.9,0.1,9182,41468,4548,24835,1493,20.3,36.5,32,18.6,25.1,14,10.4,75.3,13.1,1.1,3.1,0.9,6.5,20.3,4892,74.9,16.3,8.6,0.2,4.4,11998
"787","Vermont",17689,18365,1.8,94.7,0.8,0.1,0.4,0,28655,52251,3311,31313,1310,12.8,20.1,36.1,18.7,21.6,10.1,13.5,75.6,8.9,0.5,4.9,2,8,19.3,17605,77.6,10.8,11.4,0.2,4.4,36054
"788","Georgia",17661,18311,4.8,84.9,5.4,0.1,4.1,0,25358,77388,4806,38639,2369,6.9,10.2,53.5,12.6,20.1,5.2,8.6,85.2,8,0,0.4,0.6,5.9,23.5,16944,71.1,22.6,6,0.3,4.4,35972
"789","Kentucky",22151,23680,9.1,80.4,6.8,0,0.8,0,32803,63171,2975,30240,1350,12.4,17.1,33.3,16.9,23.3,9.7,16.8,82.1,9.5,0.4,2.3,1.3,4.4,25.4,22446,80.6,12.3,6.7,0.3,4.4,45831
"790","Pennsylvania",12210,12238,3.2,94.8,1.1,0,0.3,0,18662,50571,2171,24068,849,13.1,20.9,26.2,14.9,19.9,15.5,23.5,78.3,11.5,0.3,3.5,0.9,5.5,30.6,11180,81.5,10.6,7.6,0.3,4.4,24448
"791","Colorado",27424,27045,12.6,79,0.5,5.2,0.6,0,42973,62533,2438,34501,1246,9.6,9,40.1,18.4,22.6,11.2,7.6,73.8,9.2,1.2,5.6,3.4,6.8,21.4,29184,73.5,16.6,9.7,0.3,4.4,54469
"792","Vermont",18214,18611,2.2,93,0.9,0.3,1.9,0,29510,61875,2338,31051,1033,7.8,9,40.8,16.4,18.2,13.1,11.5,72.5,8.6,0.7,7.6,1.2,9.4,23.8,19872,77.9,10.3,11.5,0.3,4.4,36825
"793","Indiana",19432,18856,4.7,92.2,0.8,0.2,0.8,0,28672,53075,1710,25519,901,10.2,14.9,25.6,15.6,21.4,11.3,26.2,83.6,8.6,0.4,4,0.8,2.6,21.9,18802,85.2,10.4,4,0.4,4.4,38288
"794","Nebraska",17980,18596,11.8,84.9,0.7,0.3,0.6,0.2,26161,51748,1807,27162,1303,13.2,19.7,27.2,17.8,26.4,11,17.6,83.2,10.6,0.2,2.5,1.1,2.5,18.5,18495,83.3,10.9,5.3,0.4,4.4,36576
"795","Iowa",4600,4667,12.7,84.6,0.1,0,1,0,6627,49718,3191,25879,1905,15.4,24,31.1,16.4,15.9,13.2,23.3,79,14.6,0.3,1.7,1,3.2,24.3,4610,80.9,11.9,6.8,0.4,4.4,9267
"796","Virginia",5013,5835,1.7,68.2,28,0,0.8,0,9093,51495,7163,33997,2357,11,13.5,30.5,28.3,21.9,9.6,9.6,81.3,9.4,0.4,1,1.9,6,26.7,4384,73,17.3,9.4,0.4,4.4,10848
"797","Illinois",7182,7078,1.4,96.2,0.5,0.3,0.4,0.1,11132,54520,2760,29687,1378,9.7,13.3,29.5,16.7,21.8,10.7,21.2,85,7.6,0.7,2.5,0.7,3.4,23.4,7153,79.7,13.3,6.6,0.5,4.4,14260
"798","Idaho",3906,3849,3.2,93.3,0.2,0.6,0.2,0,6298,36031,1713,22489,1488,17.1,25.8,30.7,16.6,26.6,14.5,11.6,72,12.6,0.1,4.9,3.3,7.1,16,3109,65.1,20.9,13.5,0.5,4.4,7755
"799","Illinois",17021,17143,1.9,96,0.6,0.1,0.2,0,25756,54655,2216,29300,1498,11.3,18,30.6,16.4,23,11.4,18.6,86,7.2,0.5,1.8,1.2,3.4,17.3,17229,83.2,8.9,7.2,0.7,4.4,34164
"800","Illinois",4776,4832,1.5,97.2,0.4,0.1,0,0,7271,56523,4478,25806,1606,12.4,14.2,27.9,15.7,25.5,11.3,19.7,78.6,9,0.1,3.4,1,7.9,23.6,4522,76.4,13.4,9.5,0.7,4.4,9608
"801","Idaho",443,443,9.3,90.4,0,0,0,0,621,36667,9449,29193,7969,22.3,36.5,31.2,16.5,18.5,26.9,6.9,79.7,6.6,0,2,3,8.6,29.2,394,57.4,24.1,17.8,0.8,4.4,886
"802","Montana",3763,3798,2.4,84.9,0.1,8.9,0.4,0.2,5836,55267,6889,29096,2693,7.4,7.1,37.7,14.3,24.5,14,9.6,72.9,11.3,0.5,7.3,0.8,7.3,15.4,3832,64.8,20,14.3,0.9,4.4,7561
"803","Vermont",13534,13417,1.4,95.5,0.4,0.5,0.3,0,21168,45664,1944,25392,859,14.2,15.7,33.5,17.3,21.8,14.1,13.3,78,9.7,0.1,3,1.3,7.9,24.2,12227,70.9,16.1,12,1,4.4,26951
"804","Montana",373,374,8.7,85.7,0,0,0,0,594,43854,4187,25110,4441,18.2,29.4,37.6,14.2,15.7,21.4,11.1,57.2,5.3,0,19.4,2.1,16.1,25.2,351,61.3,17.4,19.4,2,4.4,747
"805","Texas",12274,10575,10.7,62,24.9,0.2,0.4,0,17923,33552,2167,17884,1092,24.7,40.3,24.7,22.2,22.1,12.7,18.3,85.5,8.4,0,1,1.3,3.8,26.4,7642,67.1,21.8,11,0,4.5,22849
"806","Arkansas",8005,7902,5.4,90.2,0.1,1,0.4,0.5,11851,42894,3325,23203,2396,17.8,22.6,29.3,14.9,20,14.8,21.1,80.5,12.2,0.3,1.8,1.2,4,31.7,6557,74.8,13.8,11.3,0,4.5,15907
"807","Kansas",2942,2799,35.2,62,0.1,0.3,0.3,0.2,3335,57500,7344,24691,2238,16.8,24.7,33,11.2,16.5,20.7,18.7,80.3,12.3,0,3.1,0.4,3.9,15.7,2569,71.7,14.8,13.5,0,4.5,5741
"808","Kentucky",11727,12665,2,94.5,1.4,0.1,0.7,0,19317,36411,3640,19032,1234,26.7,33.5,34.3,23,21,8.4,13.3,79.9,12,1,1.8,1.6,3.7,22.1,10073,75.3,20.5,4.1,0.1,4.5,24392
"809","Indiana",78924,79246,3.6,85.8,6,0.2,2.5,0,114294,74245,1577,33031,830,5.1,5.9,40.4,14.5,24.4,7.8,13,87.5,6.3,0.1,0.8,1.1,4.3,27,81408,84.3,11.3,4.3,0.1,4.5,158170
"810","Ohio",37209,38299,5.2,89.6,1.4,0,1.8,0,56858,52831,2001,29608,891,12.1,15.9,32.8,16.7,19.8,8.1,22.7,84.1,9.3,0.2,2.2,0.9,3.3,17.1,37928,86.3,9,4.7,0.1,4.5,75508
"811","Mississippi",72198,77447,2.6,74.9,20,0.1,1.2,0,111636,61605,1506,29055,776,8.5,9.2,40.1,15.1,25.2,10.4,9.3,87.4,8.7,0.1,0.5,0.9,2.5,25.4,71953,75.8,18.8,5.3,0.1,4.5,149645
"812","Ohio",112736,111132,2.6,87.1,3.3,0,5.2,0,160611,79397,2054,37479,830,5.1,5.9,48.2,13.1,21.5,6.4,10.8,86.7,6.3,0.4,0.6,0.4,5.6,25.4,109115,83.8,10.8,5.4,0.1,4.5,223868
"813","Minnesota",33054,32713,3.2,88.9,3.3,0.3,2.1,0,51071,53752,1543,28283,675,18.1,11.8,33.7,19.9,23.7,8,14.7,80.9,7.6,1.5,4,1.1,5,17.3,37072,81,13.5,5.4,0.1,4.5,65767
"814","Colorado",339400,339067,30.5,53.6,9.2,0.5,3.5,0.1,475990,60098,950,38991,465,15.1,22.8,46.1,16.8,21.5,7.9,7.7,69.9,8.1,6.8,4.4,3.3,7.6,25.3,374043,83.5,10.8,5.5,0.1,4.5,678467
"815","Virginia",565593,576411,16.2,51.7,9.3,0.1,18.8,0,724787,117515,1314,52976,419,6.1,7.9,56.6,14.7,18.4,5.7,4.7,71.1,9.4,9.6,1.9,1.7,6.3,32.1,609859,73.6,20.8,5.5,0.1,4.5,1142004
"816","Hawaii",498993,491067,9.6,18.7,2.2,0.1,41.8,8.7,707144,80078,978,33776,295,9.1,11.3,35.9,21.3,25.3,8.9,8.6,64,14.3,8.6,5.4,4,3.7,29.1,467165,72.4,21.8,5.6,0.1,4.5,990060
"817","Louisiana",10210,5166,1.5,52.1,44.9,0.2,0.5,0,12686,55647,5274,23041,2058,12.5,27.3,34.3,29.1,17.5,13.1,6,91.1,6.6,0.1,0.4,0.1,1.7,25.4,5504,63.6,30.7,5.6,0.1,4.5,15376
"818","Minnesota",18225,18387,7.5,87.2,3.2,0.2,0.9,0,26833,58882,2980,29930,813,9.9,14.4,32.8,14.6,23.6,9.2,19.7,86.1,6,1,1.8,1,4.1,18.2,18539,84.7,9.4,5.9,0.1,4.5,36612
"819","Kansas",33449,32811,4.6,89.5,2.1,0.8,1.1,0,48321,62324,2317,28478,929,10.8,15.8,40,15.2,21.4,11.6,11.8,84.8,7.9,0.1,1.6,1.3,4.2,22.7,31363,77.9,16,6,0.1,4.5,66260
"820","New Hampshire",37199,38910,1.7,94.5,0.7,0.2,1.3,0,61273,60148,1832,32072,1068,10.2,13.2,37.4,17.6,22.1,9.6,13.3,76.7,8.4,0.4,3.4,1.7,9.5,23.4,40037,78.4,14.2,7.3,0.1,4.5,76109
"821","Texas",593319,583265,33.9,49.3,7.9,0.2,6.3,0,783460,68350,751,38820,418,13.9,18.8,47.4,15.8,22.1,8.1,6.6,74.5,9.7,3.2,1.9,2.3,8.4,25.3,645807,77.7,14.9,7.3,0.1,4.5,1176584
"822","Tennessee",63009,65865,3.8,86,6.8,0.3,1.5,0.1,95199,66123,2543,31155,818,9.2,13.3,37.7,15.1,27.1,8.5,11.6,83.5,8.7,0.8,0.7,0.9,5.4,30,63207,79.6,12.9,7.5,0.1,4.5,128874
"823","Colorado",13997,14126,35.8,59.2,2.9,0.3,0.5,0.1,18095,51456,1911,24077,1425,9.3,12.2,24.5,19.6,18.5,16.6,20.9,72.2,19.2,0.2,3.7,0.9,3.8,17.6,13280,76.3,15.9,7.7,0.1,4.5,28123
"824","Maryland",75368,80653,5.4,43.1,42.8,0.6,3.1,0.1,114231,93973,2130,38890,786,6.9,9.5,42.2,17,24.7,8.6,7.4,81.4,7.3,5.8,1.1,0.6,3.7,43.9,78635,65.7,30.9,3.2,0.2,4.5,156021
"825","Ohio",13558,13905,7.5,90.2,0.5,0.1,0.4,0,20756,58070,3117,27325,998,9,12.3,30.2,15.4,17.3,11.1,25.9,88.1,7,0.3,1.3,0.8,2.5,22.3,13527,83.3,11.8,4.7,0.2,4.5,27463
"826","Pennsylvania",91847,94137,1.4,95,0.9,0.1,1.1,0,145821,66037,1398,35101,562,8.4,9.6,38.8,16.1,23.7,9.1,12.3,84.6,7.2,0.7,2.4,0.7,4.4,26.8,93194,85.2,9.6,5,0.2,4.5,185984
"827","Arkansas",10697,11798,4.6,69.1,23.8,0.3,0.7,0,17814,37144,2739,20382,1109,21.5,28.5,33.6,20.6,23.7,7.8,14.3,78.8,12.6,0.4,3.7,0.7,3.8,21.3,10291,75.8,18.7,5.3,0.2,4.5,22495
"828","Minnesota",78126,77174,3.2,87.8,5,0.3,2.1,0,114857,59564,1137,29148,492,13.1,15.3,32.7,17.9,24,8.8,16.6,79.5,7.5,1.3,4.6,1.3,5.8,20.4,85604,83.2,11.1,5.5,0.2,4.5,155300
"829","Texas",384390,396931,19.1,60.9,9.1,0.3,7.8,0.1,519933,80290,1119,37928,397,8.4,9.4,46,13.9,25.6,6.3,8.2,80.9,8.5,0.9,1.3,1.3,7.1,28.9,419189,82.7,11.6,5.5,0.2,4.5,781321
