"","State","Men","Women","Hispanic","White","Black","Native","Asian","Pacific","VotingAgeCitizen","Income","IncomeErr","IncomePerCap","IncomePerCapErr","Poverty","ChildPoverty","Professional","Service","Office","Construction","Production","Drive","Carpool","Transit","Walk","OtherTransp","WorkAtHome","MeanCommute","Employed","PrivateWork","PublicWork","SelfEmployed","FamilyWork","Unemployment","TotalPop"
"1510","Illinois",18375,16295,5.9,86.7,5.2,0.2,0.7,0.1,27211,58319,3414,28179,1205,11.8,14.8,31.5,17.8,22.9,9.9,17.9,83.8,8.5,0.5,1.9,1.2,4.2,21.5,15386,77.8,14,7.9,0.3,5.9,34670
"1511","Texas",17643,18286,16.3,74,6.7,0.2,0.7,0.1,25059,47832,1988,24236,1087,17.9,27.3,28.4,17.6,22.5,11.8,19.7,82.8,10.4,0.3,2,1,3.5,23.3,15408,78.5,12.7,8.5,0.3,5.9,35929
"1512","Pennsylvania",24404,24487,1.1,96.9,0.4,0.1,0.2,0,38863,48703,1665,24219,551,13.6,18.9,25.7,18.3,21.2,13.4,21.4,80.8,10,0.4,2.6,1.5,4.6,27.2,22161,80,11,8.6,0.3,5.9,48891
"1513","Texas",26307,27300,10.3,84.3,2.6,0.5,0.5,0.1,39666,50061,2093,25394,1208,14.2,20.3,30,19.8,22.7,14.6,13,80.5,11.4,0.1,1,0.8,6.4,34.4,22384,74.5,15,10.3,0.3,5.9,53607
"1514","Colorado",12664,13106,12.2,73.1,0.2,11.8,0.1,0.1,19680,45645,3355,24440,1046,16.8,26.6,31.8,22.4,22.7,12.3,10.7,78.8,8.2,0.1,3.4,1.1,8.5,22,11258,66.1,21.9,11.7,0.3,5.9,25770
"1515","Indiana",7439,7568,1.6,95.9,0.5,0,0.7,0,12173,59292,5009,31365,3149,10.6,10.1,33.3,15.2,24.5,11.5,15.4,85.6,8.4,0.2,1.1,0.2,4.5,33.3,6754,80.8,8.8,9.9,0.5,5.9,15007
"1516","Idaho",6685,6204,12.5,85.1,0.2,0.3,0.1,0.2,8910,51806,2998,21611,1594,11.9,15.8,28.2,15,22.7,19,15.1,78.4,10.7,1,2.5,1.7,5.7,25.9,5182,71.6,17.6,10.3,0.5,5.9,12889
"1517","Idaho",1918,1906,4.3,85.6,0.1,6.8,0.8,0,2893,40313,2276,23285,1547,15.3,19.6,31.6,20.8,18.6,14.4,14.6,72.5,10,0.1,8.5,2.5,6.3,22.7,1524,61.8,26.5,11,0.7,5.9,3824
"1518","Missouri",2436,2410,1.1,96.4,0.5,0.2,0.3,0,3760,37028,4041,20729,1494,16.9,25.3,29.2,14.5,18.9,15.6,21.9,73.6,15.7,0,2.1,0.5,8,19.8,2041,75.1,9.1,15.1,0.7,5.9,4846
"1519","Tennessee",16488,17055,3.2,87.4,6.8,0.2,0.4,0,25753,42153,1540,24029,1517,16.9,24.5,26.5,13.1,22.5,11.8,26.1,84.7,11.1,0.4,0.8,0.8,2.2,27.7,14216,78,12.8,8.1,1,5.9,33543
